ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_Meters
6144,4058 - 2568,4058,2568,61,5836.612465554337200
6145,4058 - 3292,4058,3292,62,5867.601016667539600
6146,4058 - 4061,4058,4061,63,5893.163776109181500
6147,4058 - 3793,4058,3793,64,5932.466149832022900
6148,4058 - 4057,4058,4057,65,5953.664467897055100
6149,4058 - 3795,4058,3795,66,5953.755535464049000
6150,4058 - 3799,4058,3799,67,6232.449317502642800
6151,4058 - 4052,4058,4052,68,6252.549544847478500
6152,4058 - 3794,4058,3794,69,6287.890830538591200
6153,4058 - 3791,4058,3791,70,6346.776672292379800
6154,4058 - 3293,4058,3293,71,6465.252497181784700
6155,4058 - 2822,4058,2822,72,6492.314108944252400
6156,4058 - 4062,4058,4062,73,6530.781604755104100
6157,4058 - 4055,4058,4055,74,6537.708275404812400
6158,4058 - 4054,4058,4054,75,6796.898577596963200
6159,4058 - 2544,4058,2544,76,6927.411799589539400
6160,4058 - 2823,4058,2823,77,7332.775902041246800
6161,3797 - 3797,3797,3797,1,0.000000000000000
6162,3797 - 2547,3797,2547,2,251.905764061445550
6163,3797 - 3798,3797,3798,3,281.074241424682900
6164,3797 - 2548,3797,2548,4,453.176806978221630
6165,3797 - 2540,3797,2540,5,681.450610621950890
6166,3797 - 3799,3797,3799,6,825.076971576905630
6167,3797 - 3792,3797,3792,7,840.108344399672890
6168,3797 - 3794,3797,3794,8,908.573239127268830
6169,3797 - 3841,3797,3841,9,909.012375401838540
6170,3797 - 3795,3797,3795,10,991.380222662215830
6171,3797 - 3838,3797,3838,11,1132.223276254644100
6172,3797 - 3635,3797,3635,12,1193.173858335925400
6173,3797 - 2561,3797,2561,13,1459.465312940917300
6174,3797 - 2497,3797,2497,14,1511.113784660567300
6175,3797 - 3793,3797,3793,15,1545.495761644137900
6176,3797 - 4047,3797,4047,16,1593.763342748426600
6177,3797 - 3291,3797,3291,17,1629.678142312395500
6178,3797 - 1001,3797,1001,18,1688.457515350654600
6179,3797 - 2496,3797,2496,19,1847.912539723557100
6180,3797 - 3294,3797,3294,20,1896.514529561888800
6181,3797 - 2562,3797,2562,21,1960.230572893646200
6182,3797 - 4051,3797,4051,22,1978.841843550435700
6183,3797 - 3619,3797,3619,23,2020.110110309420900
6184,3797 - 2571,3797,2571,24,2178.273274238348200
6185,3797 - 3390,3797,3390,25,2186.986756492622100
6186,3797 - 2537,3797,2537,26,2220.349299522447400
6187,3797 - 3455,3797,3455,27,2224.628483917698800
6188,3797 - 2495,3797,2495,28,2227.966958421831400
6189,3797 - 2565,3797,2565,29,2239.162981924469500
6190,3797 - 2499,3797,2499,30,2267.883600910497100
6191,3797 - 3685,3797,3685,31,2308.375016098661500
6192,3797 - 2569,3797,2569,32,2354.372065009806600
6193,3797 - 3621,3797,3621,33,2373.341122766684300
6194,3797 - 3684,3797,3684,34,2539.140334729343100
6195,3797 - 2494,3797,2494,35,2539.232926195607900
6196,3797 - 2498,3797,2498,36,2582.892611146536200
6197,3797 - 2552,3797,2552,37,2583.491827916647300
6198,3797 - 2539,3797,2539,38,2586.673632248477100
6199,3797 - 2501,3797,2501,39,2589.127338174280800
6200,3797 - 2568,3797,2568,40,2590.171510200672900
6201,3797 - 4052,3797,4052,41,2917.005464439215300
6202,3797 - 2549,3797,2549,42,2944.687304197168500
6203,3797 - 3660,3797,3660,43,2982.948857853721200
6204,3797 - 2566,3797,2566,44,2985.707125360518100
6205,3797 - 2502,3797,2502,45,3065.319172121167400
6206,3797 - 4060,3797,4060,46,3111.366191222786700
6207,3797 - 3513,3797,3513,47,3147.866745156820300
6208,3797 - 2563,3797,2563,48,3202.172171839276000
